,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
4579,0,ADULT,774,143,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016.0,z,email,True,2011,False,8.0
4580,3,SENIOR,5526,993,65 to 74 years,A5,Anza,July,2016.0,z,email,True,2003,False,1.0
4582,0,ADULT,55,20,35 to 44 years,O7,Ortega,March,2014.0,p,phone,False,2003,False,11.0
4583,0,ADULT,15,0,25 to 34 years,X,Main Library,July,2016.0,p,phone,False,2016,False,3.0
4584,0,ADULT,3,0,60 to 64 years,X,Main Library,April,2012.0,z,email,True,2009,False,9.0
4586,0,ADULT,54,82,25 to 34 years,P1,Park,July,2016.0,z,email,True,2015,False,5.0
4587,0,ADULT,186,69,35 to 44 years,S7,Sunset,September,2013.0,z,email,True,2008,False,4.0
4588,0,ADULT,1029,96,60 to 64 years,C2,Chinatown,July,2016.0,p,phone,False,2009,False,3.0
4589,0,ADULT,126,6,25 to 34 years,O7,Ortega,April,2014.0,a,print,True,2003,False,4.0
4591,0,ADULT,16,0,45 to 54 years,N4,Noe Valley/Sally Brunn,January,2015.0,z,email,True,2011,False,8.0
4592,0,ADULT,217,243,20 to 24 years,O2,Ocean View,July,2013.0,a,print,False,2003,False,11.0
4594,0,ADULT,2,0,25 to 34 years,I5,Ingleside,October,2014.0,z,email,True,2014,False,11.0
4595,0,ADULT,12,16,35 to 44 years,X,Main Library,December,2013.0,z,email,True,2004,False,8.0
4596,0,ADULT,1,2,25 to 34 years,B4,Bernal Heights,August,2014.0,z,email,True,2014,False,9.0
4598,0,ADULT,2,1,25 to 34 years,A5,Anza,April,2014.0,p,phone,False,2007,False,1.0
4600,0,ADULT,396,125,20 to 24 years,X,Main Library,November,2014.0,p,phone,False,2003,False,4.0
4603,0,ADULT,60,11,35 to 44 years,I5,Ingleside,November,2014.0,z,email,True,2009,False,2.0
4604,0,ADULT,70,8,25 to 34 years,E9,Excelsior,May,2015.0,p,phone,False,2015,False,11.0
4606,0,ADULT,125,14,20 to 24 years,M6,Mission,May,2014.0,p,phone,False,2004,False,7.0
4608,0,ADULT,76,26,25 to 34 years,P3,Parkside,April,2014.0,z,email,True,2013,False,4.0
4609,0,ADULT,129,0,25 to 34 years,V3,Visitacion Valley,April,2014.0,p,phone,True,2011,False,10.0
4610,0,ADULT,1194,24,60 to 64 years,X,Main Library,July,2016.0,z,email,True,2014,False,8.0
4611,0,ADULT,4,4,35 to 44 years,M8,Mission Bay,December,2014.0,z,email,True,2014,False,6.0
4614,4,WELCOME,7,0,45 to 54 years,P1,Park,April,2016.0,p,phone,False,2014,False,6.0
4615,0,ADULT,86,50,45 to 54 years,X,Main Library,March,2016.0,z,email,True,2003,False,8.0
4617,0,ADULT,26,0,25 to 34 years,E9,Excelsior,February,2013.0,a,print,True,2012,False,9.0
4618,0,ADULT,43,37,65 to 74 years,R3,Richmond,October,2006.0,z,email,True,2003,False,1.0
4622,0,ADULT,25,11,55 to 59 years,I5,Ingleside,November,2013.0,z,email,True,2003,False,11.0
4624,0,ADULT,10,0,25 to 34 years,P7,Potrero,September,2015.0,z,email,True,2014,False,10.0
4625,0,ADULT,11,3,35 to 44 years,E9,Excelsior,October,2014.0,z,email,True,2014,False,11.0
4626,0,ADULT,2,0,25 to 34 years,P1,Park,February,2015.0,z,email,True,2014,False,2.0
